peakId,B_plate1_run1_10302020,B_plate1_run2_10302020,B_plate1_run3_10302020,B_plate2_run1_10302020,B_plate2_run2_10302020,B_plate2_run3_10302020,B_plate3_run1_10302020,B_plate3_run2_10302020,B_plate3_run3_10302020,L_plate1_run1_10302020,L_plate1_run2_10302020,L_plate1_run3_10302020,L_plate2_run1_10302020,L_plate2_run2_10302020,L_plate2_run3_10302020,L_plate3_run1_10302020,L_plate3_run2_10302020,L_plate3_run3_10302020,M_plate1_run1_10302020,M_plate1_run2_10302020,M_plate1_run3_10302020,M_plate2_run1_10302020,M_plate2_run2_10302020,M_plate2_run3_10302020,M_plate3_run1_10302020,M_plate3_run2_10302020,M_plate3_run3_10302020,P_plate1_run1_10302020,P_plate1_run2_10302020,P_plate1_run3_10302020,P_plate2_run1_10302020,P_plate2_run2_10302020,P_plate2_run3_10302020,P_plate3_run1_10302020,P_plate3_run2_10302020,P_plate3_run3_10302020
9.4,37607396.94113524,42911930.165333055,48225889.83425736,34463483.70242638,43116751.94700917,46794025.75558086,32901734.081221923,34962946.335433625,42723152.32987471,36635686.59777523,45309562.527800955,45876628.179434866,29082565.54192944,29758839.231999736,38769332.23604286,25946409.152185667,36697735.95063876,36690956.18136286,26066181.300432302,35091972.743973434,34369891.33422139,28246790.266063467,30084382.446675632,39110141.15527807,27700447.177234787,35382538.00668068,35924732.708781384,29861755.62280984,37115369.096964866,43830027.40923544,33591136.19885096,42883987.189503364,41834837.20710634,34995965.78748901,47312069.88053964,49072811.11049106
9.46,69513896.92314865,78276167.8727769,87225485.79375073,63158280.855678625,76991641.04774277,84926321.31924292,61151860.03541029,66037213.5422892,79047441.27456313,81167995.88187248,97385872.05332741,98682271.692649,68602226.19819658,68970240.47282586,86052263.616718,96262513.63679606,130355666.8605936,131722491.22066636,96254759.38927972,124595393.38924725,124673054.43719096,127211477.78399734,136966348.3150723,166331001.3240487,133335913.48570235,167024433.56734532,169583333.06650063,76357909.54570244,93805219.12652446,107277182.64744629,80107861.56366445,98973444.6092721,95821510.3964944,81489657.20728688,104566936.69917312,109619181.87832597
9.62,819314.2340283705,923151.1324680868,985392.2619148934,702858.1990141853,935985.7360000041,965630.4346666761,703048.5678865268,750085.8802553185,945782.2053333332,845993.1653333353,1031724.3733333461,961620.5253333355,772438.7626666767,817670.4940000031,1070437.5386666788,696168.64438298,1015613.434666674,1002249.8515673743,742115.6906666774,978395.335446806,895744.0408652398,664433.0693333435,711928.9679999965,967492.8722694975,660636.1626170175,892968.7173333282,867082.3574822673,722051.7360000039,880679.8427801451,989670.3077943288,745466.1660921994,1013440.696113486,913760.0906666671,699882.0541347621,1001158.9280000102,1001969.4972482256
9.71,36062175.456139736,39335081.603686824,47097639.42076372,33295258.49042277,42260312.16611121,46344876.99999637,31351199.24965182,33766452.65205596,41410956.22977687,33699422.187658116,42987274.22932959,44242990.33333142,26780930.92266445,27505127.15128927,36299804.98900439,24379314.354027,35069608.249018505,35171894.34950313,25681328.500508744,35187026.563063115,34985622.79904085,28193715.03467154,30518755.70815333,40131680.88502032,27557301.60065894,36008503.466836,36721211.6469776,28251469.59485643,35749599.10741617,41881711.493134595,32296725.861388374,43386941.3535509,41183298.293708384,33515162.785678975,45531005.36451388,47657148.47540261
9.74,8349475.12178719,8751772.530815579,10853583.235163033,7319519.657758817,9381121.013333326,10162249.165333515,6918916.872120567,7204267.4712056415,9061491.479297921,10258024.792000093,13176482.47466674,13177920.439999992,7593551.584000102,7683660.705957471,10047537.255404633,5735046.6880000075,8464067.888645679,8226491.838326214,1421846.9260424995,1735927.3871347476,1600195.3036524735,1666498.165333234,1490119.6970212949,1934655.0331205474,1714545.767276587,1790666.6879999489,1847140.368439674,11517061.680000039,14446984.773801327,16866031.982638225,11928170.591063896,16165279.689936314,14783364.077482216,11838287.066667069,16218578.674666895,16858759.46400004
9.88,34025245.5919989,39542747.72695031,45783223.90808441,29147168.271999188,38648307.625807464,42123253.864000045,29016874.71927603,37564003.64800111,39330698.623999104,34866491.54133217,44124115.0295459,45563754.05599898,27918780.029332936,32651038.055468917,38861392.741333276,22034863.132964037,32621441.965333108,33263807.15466639,15477570.701333446,18047408.43738982,22230925.60266648,15058724.934581524,16803173.00533295,22724078.73302101,15272620.158581318,20597122.450667314,21221579.567872137,36570673.741332,45875108.45649498,54332475.544851154,32173951.367149696,44570322.792916104,42499269.109334126,34874555.90509291,48735148.591999255,52095783.017779276
9.99,3054031.1917305556,5605459.878680842,6445558.16712055,2853910.2458227584,4207387.635205704,5172663.529319267,3125351.262397174,6197319.209702106,6910972.037361801,3013169.8939503804,4380779.801049732,4815594.504297894,3307722.3935390897,9727261.519765973,13700877.359943783,3357532.7412198754,5947806.488198711,6332834.760758845,2878332.6624610173,5143670.0171063915,6442114.537929056,3198372.843177365,6765465.890929082,10405497.641106386,3032648.7515461114,4367892.310127672,4922632.376446791,2614321.117141852,4738865.661283731,6071159.912063812,3272941.348070908,7707187.286510779,8649542.499659725,2861892.503858182,4469885.604723509,5265487.310446832
10.11,781644.7466666682,932030.9797163092,1031391.765702131,712685.5452482308,883927.392950352,972244.7460141862,721140.5508581572,1024009.0959999949,991215.6786524846,829160.4714539044,799894.5178652524,1067616.858652487,769600.9859361745,957658.7064255289,1008616.737361707,686915.9797659558,1024176.7374822721,1003663.7064538966,640337.634921985,694114.7368723383,889381.0073333365,616081.3956028362,645245.4273191516,901627.7787234006,664847.9374397126,899286.6275744599,918481.2358510594,915379.2676666701,1039667.7207021312,1153743.2120638264,915644.8175035499,1100720.7144113437,1038487.1418865212,1049278.8146099593,1226417.4647730647,1283750.6509219836
10.24,1758865.0266453794,2391460.131503522,3331503.229361676,1727398.2606666859,2863183.291177308,3965890.6694610645,1866858.8855177087,3418316.213361658,4205763.4633191675,1593356.059290786,2030529.4796666922,3358514.604241096,1586343.7076879644,2731932.9873049455,3816051.7908299062,1852305.733333347,3789323.771290843,4958388.0566098895,1205786.1137517742,1777502.9990992723,2928605.280829764,1343831.6459361766,2032687.6941773302,3569519.3332411065,1520312.1136240973,2682005.3819291038,3474362.411007068,1735844.7274042366,2669670.2993900464,3737809.0558580942,2085155.9935035168,2820452.135333291,4150429.335177248,2300173.815999989,3956918.397673826,5135408.875368706
10.3,729525.1573333271,816255.3633758668,1054807.8349077778,674388.7919999884,916227.6277163101,1028517.1141772902,689813.4981985792,1034933.5253333077,1024202.701390069,785805.3233475164,819662.9786666468,1125068.9311347243,703413.3444539014,934358.7071985618,1024407.4090780088,655845.5617021199,1001717.1491063804,1053479.4216737372,402595.72464538756,462953.02724822616,630829.9397446731,407686.80841134454,463229.90025531483,674067.2597872273,426811.95404255076,614132.2561347453,688475.8985815517,658711.6260283624,941974.5092765767,1132931.01309217,784692.9148368607,868461.3700354353,1078331.495744652,805408.0757446656,1147557.1396879388,1227307.5126240826
